id,fecha_entrega,fecha_ultima,fecha_penultima,fecha_antepenultima,kms_ultima,kms_penultima,kms_antepenultima,dias_para_5000
1,0000-00-00,2022-03-29,2021-11-03,0000-00-00,123344,115231,0,0
2,0000-00-00,2021-09-27,2021-08-19,0000-00-00,112446,109473,0,0
3,0000-00-00,2021-03-31,0000-00-00,0000-00-00,135976,0,0,0
4,0000-00-00,2021-03-05,0000-00-00,0000-00-00,191772,0,0,0
5,0000-00-00,2022-03-25,2022-03-11,0000-00-00,22,2,0,1
6,0000-00-00,2020-06-25,0000-00-00,0000-00-00,1,0,0,0
7,0000-00-00,2023-06-30,0000-00-00,0000-00-00,6,0,0,0
8,0000-00-00,2023-06-29,0000-00-00,0000-00-00,6,0,0,0
9,0000-00-00,2023-06-30,0000-00-00,0000-00-00,5,0,0,0
10,0000-00-00,2023-06-29,0000-00-00,0000-00-00,27,0,0,1
11,0000-00-00,2019-11-20,0000-00-00,0000-00-00,27,0,0,0
12,0000-00-00,2023-06-30,0000-00-00,0000-00-00,9,0,0,1
13,0000-00-00,2023-06-29,0000-00-00,0000-00-00,7,0,0,1
14,0000-00-00,2020-02-26,0000-00-00,0000-00-00,26,0,0,0
15,0000-00-00,2023-09-22,0000-00-00,0000-00-00,4,0,0,0
16,0000-00-00,2023-09-22,0000-00-00,0000-00-00,4,0,0,0
17,0000-00-00,2021-02-26,2021-01-20,0000-00-00,20,19,0,0
18,0000-00-00,2021-01-20,0000-00-00,0000-00-00,15,0,0,0
19,0000-00-00,2018-01-10,2017-12-04,2017-11-30,358,357,346,0
20,0000-00-00,2017-09-12,2017-09-11,2017-09-07,450,427,426,1
21,0000-00-00,2022-04-05,0000-00-00,0000-00-00,1,0,0,1
22,0000-00-00,2021-10-27,0000-00-00,0000-00-00,1,0,0,1
23,0000-00-00,2021-10-28,0000-00-00,0000-00-00,14,0,0,0
24,0000-00-00,2021-10-27,0000-00-00,0000-00-00,14,0,0,0
25,0000-00-00,2020-01-02,0000-00-00,0000-00-00,3,0,0,1
26,0000-00-00,2021-10-27,0000-00-00,0000-00-00,105528,0,0,1
27,0000-00-00,2016-04-28,2015-08-04,2015-05-27,46492,10121,4925,0
28,0000-00-00,2019-01-09,0000-00-00,0000-00-00,1,0,0,0
29,0000-00-00,2019-01-10,2019-01-03,0000-00-00,3,2,0,0
30,0000-00-00,2019-01-17,2019-01-11,2019-01-09,6,4,3,1
31,0000-00-00,2019-01-14,2019-01-11,2019-01-09,9,3,2,0
32,0000-00-00,2019-01-10,2019-01-03,0000-00-00,3,2,0,1
33,0000-00-00,2019-01-09,0000-00-00,0000-00-00,661,0,0,1
34,0000-00-00,2023-10-09,2023-10-07,0000-00-00,17,16,0,1
35,0000-00-00,2019-02-09,0000-00-00,0000-00-00,1,0,0,0
36,0000-00-00,2021-10-28,0000-00-00,0000-00-00,217328,0,0,1
37,0000-00-00,2020-12-22,0000-00-00,0000-00-00,103132,0,0,0
38,0000-00-00,2020-11-26,0000-00-00,0000-00-00,107517,0,0,1
39,0000-00-00,2021-01-06,0000-00-00,0000-00-00,131389,0,0,0
40,0000-00-00,2021-08-30,0000-00-00,0000-00-00,1,0,0,1
41,0000-00-00,2020-10-14,0000-00-00,0000-00-00,12,0,0,0
42,0000-00-00,2022-06-30,0000-00-00,0000-00-00,10,0,0,1
43,0000-00-00,2017-02-01,0000-00-00,0000-00-00,243247,0,0,0
44,0000-00-00,2023-02-24,2022-12-26,2022-12-16,13,12,11,1
45,0000-00-00,2022-12-22,0000-00-00,0000-00-00,49,0,0,0
46,0000-00-00,2022-12-16,0000-00-00,0000-00-00,14,0,0,1
47,0000-00-00,2022-12-19,0000-00-00,0000-00-00,10,0,0,0
48,0000-00-00,2022-12-23,2022-12-21,0000-00-00,11,1,0,0
49,0000-00-00,2021-03-02,0000-00-00,0000-00-00,92795,0,0,0
50,0000-00-00,2021-04-29,0000-00-00,0000-00-00,166666,0,0,0
51,0000-00-00,2023-09-29,2023-09-26,0000-00-00,15,14,0,0
52,0000-00-00,2022-08-24,0000-00-00,0000-00-00,11,0,0,0
53,0000-00-00,2022-10-24,2022-10-07,0000-00-00,12,1,0,0
54,0000-00-00,2022-12-20,0000-00-00,0000-00-00,9,0,0,0
55,0000-00-00,2022-12-23,2022-12-22,0000-00-00,13,11,0,0
56,0000-00-00,2022-11-28,2022-11-22,2022-10-21,10,9,8,0
57,0000-00-00,2022-12-19,0000-00-00,0000-00-00,7,0,0,1
58,0000-00-00,2022-12-23,0000-00-00,0000-00-00,11,0,0,0
59,0000-00-00,2022-12-21,0000-00-00,0000-00-00,12,0,0,1
60,0000-00-00,2022-12-19,0000-00-00,0000-00-00,11,0,0,0
61,0000-00-00,2022-12-16,0000-00-00,0000-00-00,12,0,0,0
62,0000-00-00,2018-11-07,2018-10-09,2018-09-29,423294,422251,421316,0
63,0000-00-00,2017-11-21,0000-00-00,0000-00-00,41300,0,0,1
64,0000-00-00,2019-02-13,0000-00-00,0000-00-00,11,0,0,1
65,0000-00-00,2022-12-19,0000-00-00,0000-00-00,9,0,0,1
66,0000-00-00,2021-06-01,2020-12-02,0000-00-00,307730,304460,0,1
67,0000-00-00,2021-01-25,2020-12-02,0000-00-00,491050,385200,0,1
68,0000-00-00,2021-05-03,2021-03-01,0000-00-00,396900,396892,0,0
69,0000-00-00,2018-01-19,2018-01-17,0000-00-00,8,7,0,0
70,0000-00-00,2023-07-24,0000-00-00,0000-00-00,101,0,0,0
71,0000-00-00,2020-09-08,0000-00-00,0000-00-00,500,0,0,0
72,0000-00-00,2023-10-27,2023-09-21,0000-00-00,14,13,0,0
73,0000-00-00,2023-09-28,0000-00-00,0000-00-00,10,0,0,1
74,0000-00-00,2017-06-06,0000-00-00,0000-00-00,76000,0,0,0
75,0000-00-00,2021-05-26,2021-02-01,0000-00-00,56624,54301,0,0
76,0000-00-00,2021-05-06,0000-00-00,0000-00-00,121629,0,0,0
77,0000-00-00,2020-12-24,0000-00-00,0000-00-00,272545,0,0,0
78,0000-00-00,2021-03-04,0000-00-00,0000-00-00,225533,0,0,0
79,0000-00-00,2021-04-12,2020-11-27,0000-00-00,287664,280329,0,1
80,0000-00-00,2021-02-09,0000-00-00,0000-00-00,86079,0,0,0
81,0000-00-00,2021-01-25,0000-00-00,0000-00-00,237287,0,0,1
82,0000-00-00,2021-03-17,2020-11-27,0000-00-00,359286,350273,0,1
83,0000-00-00,2021-05-24,2021-03-01,2020-12-17,299500,293158,289627,1
84,0000-00-00,2021-02-05,2020-12-15,2020-12-10,385536,380282,380281,1
85,0000-00-00,2021-03-11,2020-12-01,0000-00-00,428862,422985,0,1
86,0000-00-00,2021-08-18,0000-00-00,0000-00-00,60489,0,0,1
87,0000-00-00,2021-08-12,0000-00-00,0000-00-00,79355,0,0,1
88,0000-00-00,2021-09-02,0000-00-00,0000-00-00,185423,0,0,0
89,0000-00-00,2022-01-20,2021-03-10,0000-00-00,289514,271985,0,1
90,0000-00-00,2021-03-05,2020-12-14,0000-00-00,381443,375543,0,0
91,0000-00-00,2021-03-01,2021-01-22,2020-11-27,396892,305200,302832,1
92,0000-00-00,2021-04-14,2020-11-27,0000-00-00,258834,250943,0,1
93,0000-00-00,2021-01-22,0000-00-00,0000-00-00,228110,0,0,1
94,0000-00-00,2021-11-12,0000-00-00,0000-00-00,233628,0,0,1
95,0000-00-00,2021-11-09,2021-05-13,2021-02-04,178970,173290,168685,1
96,0000-00-00,2021-09-08,2021-08-19,2021-04-22,232416,231313,224308,1
97,0000-00-00,2015-01-27,0000-00-00,0000-00-00,14790,0,0,1
98,0000-00-00,2021-03-01,0000-00-00,0000-00-00,223733,0,0,1
99,0000-00-00,2021-05-03,2021-03-01,2020-12-14,195731,195730,190094,1
100,0000-00-00,2021-03-10,0000-00-00,0000-00-00,149017,0,0,1
101,0000-00-00,2021-09-01,2021-04-14,2020-12-16,151940,142440,133272,0
102,0000-00-00,2021-10-25,2021-05-12,2021-05-05,123049,120000,119913,0
103,0000-00-00,2021-12-30,2021-03-15,2020-12-10,322665,271202,304003,1
104,0000-00-00,2021-04-14,0000-00-00,0000-00-00,273126,0,0,0
105,0000-00-00,2021-10-11,0000-00-00,0000-00-00,196142,0,0,0
106,0000-00-00,2020-12-02,0000-00-00,0000-00-00,109765,0,0,0
107,0000-00-00,2021-05-07,2020-11-20,0000-00-00,185567,184045,0,1
108,0000-00-00,2021-02-08,0000-00-00,0000-00-00,140633,0,0,0
109,0000-00-00,2021-10-29,2021-09-17,2021-02-18,157400,155826,146571,1
110,0000-00-00,2021-10-01,0000-00-00,0000-00-00,219000,0,0,0
111,0000-00-00,2021-05-10,2020-12-02,0000-00-00,200936,192986,0,1
112,0000-00-00,2021-08-23,2020-12-12,0000-00-00,191667,185288,0,0
113,0000-00-00,2021-10-20,2021-08-17,2021-04-14,258169,140850,246192,0
114,0000-00-00,2021-09-17,2021-02-18,0000-00-00,249000,235049,0,1
115,0000-00-00,2021-09-16,2021-08-24,2021-05-13,323640,320767,312745,0
116,0000-00-00,2016-11-30,2016-08-08,2015-10-19,15223,10250,44521,1
117,0000-00-00,2020-11-27,0000-00-00,0000-00-00,63480,0,0,0
118,0000-00-00,2015-12-10,2015-09-28,2015-06-24,29375,24204,18071,0
119,0000-00-00,2021-11-04,2021-02-25,2021-01-19,171862,165674,162618,1
120,0000-00-00,2021-10-04,2021-02-05,2020-12-02,198782,193470,187000,0
121,0000-00-00,2021-08-30,2021-04-08,2021-01-27,249157,241453,237889,0
122,0000-00-00,2021-04-16,2021-01-25,2020-12-23,167500,167499,167498,1
123,0000-00-00,2021-09-22,2021-02-03,0000-00-00,167659,158493,0,1
124,0000-00-00,2021-05-07,2021-03-01,2020-12-12,183258,223733,169550,0
125,0000-00-00,2021-07-12,2020-11-20,0000-00-00,93795,10,0,1
126,0000-00-00,2021-03-03,2020-12-18,2020-11-18,39991,37641,37640,0
127,0000-00-00,2021-04-17,2021-04-06,2020-11-30,220956,220955,215796,1
128,0000-00-00,2021-08-17,2021-02-18,0000-00-00,115119,112799,0,1
129,0000-00-00,2021-10-06,2021-03-23,2021-02-19,199945,182616,182351,0
130,0000-00-00,2021-04-12,2020-11-27,0000-00-00,171243,165160,0,0
131,0000-00-00,2021-03-03,2020-11-11,0000-00-00,107100,98464,0,0
132,0000-00-00,2020-11-18,0000-00-00,0000-00-00,103478,0,0,0
133,0000-00-00,2021-09-15,0000-00-00,0000-00-00,179924,0,0,1
134,0000-00-00,2021-09-07,0000-00-00,0000-00-00,110361,0,0,0
135,0000-00-00,2021-09-28,2021-05-27,2021-03-15,191296,179106,173679,0
136,0000-00-00,2021-10-07,2021-05-10,2021-01-20,126633,120998,113464,0
137,0000-00-00,2021-08-20,2021-05-15,2021-04-26,116528,121000,120664,1
138,0000-00-00,2021-03-20,2021-02-04,0000-00-00,122799,119534,0,0
139,0000-00-00,2021-10-07,2021-06-08,2021-03-04,171167,158072,149910,0
140,0000-00-00,2021-07-13,2021-04-29,2021-02-05,197670,197669,191622,1
141,0000-00-00,2021-10-08,2021-06-12,2021-04-15,177976,172417,167195,1
142,0000-00-00,2021-10-08,2020-12-15,0000-00-00,142700,127905,0,1
143,0000-00-00,2021-05-13,0000-00-00,0000-00-00,178400,0,0,0
144,0000-00-00,2020-12-03,0000-00-00,0000-00-00,159541,0,0,1
145,0000-00-00,2021-10-27,2021-10-25,2021-08-12,179072,178898,172419,0
146,0000-00-00,2021-02-13,0000-00-00,0000-00-00,61163,0,0,0
147,0000-00-00,2021-11-08,2021-09-06,2021-04-07,122435,121161,117215,1
148,0000-00-00,2021-04-20,2020-11-27,0000-00-00,122556,119928,0,1
149,0000-00-00,2021-09-22,2021-09-03,2021-02-12,123619,123509,116203,0
150,0000-00-00,2021-11-08,2020-11-12,0000-00-00,165635,154641,0,0
151,0000-00-00,2021-09-18,2021-03-04,0000-00-00,165868,156789,0,0
152,0000-00-00,2021-08-26,0000-00-00,0000-00-00,92129,0,0,1
153,0000-00-00,2021-03-15,2021-01-15,2020-12-15,149211,143224,139850,0
154,0000-00-00,2021-09-29,2021-01-20,2020-11-30,90785,83950,81764,0
155,0000-00-00,2021-08-19,2021-03-12,0000-00-00,187247,177887,0,0
156,0000-00-00,2021-10-28,2021-10-19,2021-03-01,92200,90768,76829,0
157,0000-00-00,2021-10-02,2021-08-30,0000-00-00,152778,152777,0,0
158,0000-00-00,2022-01-04,2021-02-10,2020-11-20,336955,306004,291528,1
159,0000-00-00,2021-03-01,2020-12-02,0000-00-00,240738,235990,0,1
160,0000-00-00,2021-10-29,2021-03-05,0000-00-00,181199,168980,0,0
161,0000-00-00,2021-11-16,2021-10-15,2020-12-04,143710,143050,127347,0
162,0000-00-00,2021-02-11,0000-00-00,0000-00-00,129035,0,0,1
163,0000-00-00,2021-09-21,0000-00-00,0000-00-00,84181,0,0,0
164,0000-00-00,2021-04-06,2020-12-15,0000-00-00,119259,114902,0,1
165,0000-00-00,2021-08-25,2021-05-26,2021-03-24,193821,188686,183308,0
166,0000-00-00,2021-11-10,2021-04-07,2020-12-12,170307,154425,145309,0
167,0000-00-00,2021-09-23,2021-03-08,2021-01-20,170200,149528,149527,0
168,0000-00-00,2021-08-11,2021-05-21,2021-03-09,178744,172873,169285,0
169,0000-00-00,2021-10-01,2021-08-31,2021-06-09,166140,164887,158028,1
170,0000-00-00,2021-11-03,2021-10-19,2021-05-03,163962,163553,155937,1
171,0000-00-00,2021-09-28,2021-04-08,2021-01-25,186801,173009,167976,0
172,0000-00-00,2021-09-29,2021-08-10,2021-05-13,161451,156810,152368,1
173,0000-00-00,2021-11-11,0000-00-00,0000-00-00,222287,0,0,0
174,0000-00-00,2021-05-03,2021-01-21,0000-00-00,107209,101503,0,0
175,0000-00-00,2021-02-27,2021-01-20,2021-01-06,111956,110131,99462,1
176,0000-00-00,2021-08-18,2021-04-05,2020-12-10,106382,100040,96414,0
177,0000-00-00,2021-11-09,2020-12-07,0000-00-00,106049,84297,0,1
178,0000-00-00,2021-04-14,2020-12-23,0000-00-00,94840,92474,0,0
179,0000-00-00,2021-10-21,2021-08-24,2021-04-14,125037,119484,112928,0
180,0000-00-00,2021-05-31,2021-05-18,2021-03-05,78295,78294,73000,0
181,0000-00-00,2021-10-25,2021-08-11,2021-06-04,118600,113459,106528,0
